id,car_variant,year_of_vehicle_manufacture,month_of_vehicle_manufacture,odometer_reading,odometer_reading_present,vehicle_fuel_type,registered_color,vehicle_make,vehicle_model,accidental_vehicle,city,car_valuation
127,RXT,2019,8,84783.67558468679,1,Petrol,,Renault,KWID,,Mangalore,403103.97531884
335,Sigma,2019,4,41809.70281859913,1,Petrol,,Maruti,Baleno,,Ghaziabad,587695.7474689751
332,ZXi Plus,2017,1,62862.272440567875,1,Petrol,,Maruti,Ertiga,,Puthur,828293.3350912237
55,E i-DTEC,2014,5,83252.72313913543,1,Diesel,,Honda,Amaze,,Agra,356689.49194199534
536,S CNG,2023,3,6058.012353671929,1,Petrol + CNG,,Hyundai,Aura,,Palwal,822187.7448960514
270,RXE,2021,6,2775.5995855129568,1,Petrol,,Renault,Kiger,,Delhi,629704.5803850421
67,85 PS RXL,2015,2,73645.83288324662,1,Diesel,,Renault,Duster,,Surat,538389.2590319228
392,Sportz,2017,9,97711.44136324366,1,Petrol,,Hyundai,Grand i10 Nios,,Bangalore,499712.75889603107
454,LXI Optional,2017,12,44783.62266750961,1,Petrol,,Maruti,Alto K10,,Ghaziabad,257761.54027739464
772,G,2021,1,50135.28054473013,1,Petrol,,Toyota,Glanza,,Ballabgarh,689545.543742628
475,VDi,2016,8,167711.90302868557,1,Diesel,,Maruti,Vitara Brezza,,Mumbai,605624.887446451
414,Sharp CVT,2021,12,8215.545050041967,1,Petrol,,MG,Hector,,Delhi,1699212.3386033399
624,VXI AMT,2015,4,62404.43048825749,1,Petrol,,Maruti,WAGON R,,Jaipur,374319.4975772095
752,HIGHLNE,2014,5,,0,Diesel,,Volkswagen,Polo,,Rajkot,487021.8471506965
7,VDI,2018,3,97194.67523604861,1,Diesel,,Maruti,Swift Dzire,,Mahbubnagar,659257.9881130656
655,VXI,2020,10,,0,Petrol,,Maruti,SWIFT,,Rajkot,782818.6301450025
44,1.2 MPI Comfortline,2013,8,113027.39514607625,1,Petrol,,Volkswagen,Polo,,Jamnagar,491575.4455146636
25,i-DTEC V,2015,1,53093.87056541762,1,Diesel,,Honda,City,,Jaipur,671124.6609043104
563,1.2 Kappa Asta,2017,6,71017.39729764145,1,Petrol + CNG,,HYUNDAI,Grand i10,,Delhi,496919.9267252173
637,ERTIGA,2015,9,,0,Diesel,,MARUTI SUZUKI INDIA LTD,VDI,,Delhi,609026.8948714485
512,7 Seater STD,2023,2,43407.055560664194,1,Petrol,,Maruti,Eeco,,Ghaziabad,471764.7540328206
401,Delta,2020,12,28833.87831289614,1,Petrol,,Maruti,Baleno,,Gautam Buddha Nagar,657559.9576049736
0,Asta 1.4 CRDi,2014,8,79193.70377360733,1,Diesel,,Hyundai,i20,,Jaipur,597455.0086219056
255,G MT,2021,12,13222.375866772325,1,Petrol,,Toyota,Glanza,,Nagpur,807339.5811584104
68,1.2 DURATEC PETROL ZXI,2011,1,,0,Petrol,,FORD,FIGO,,Chennai,241576.18481132307
348,Magna,2018,2,93919.10719627424,1,Petrol + CNG,,Hyundai,Grand i10,,Pune,438772.9120441232
649,N6,2017,5,49063.29809198499,1,Diesel,,Mahindra,NuvoSport,,South Delhi,372563.09659982665
292,SX iMT,2021,1,45925.44095283519,1,Diesel,,Hyundai,Venue,,Nagpur,1165951.1771087728
668,INNOVA CRYSTA 2.4 G 8S,2020,1,,0,Diesel,,TOYOTA KIRLOSKAR MOTORS LTD,INNOVA CRYSTA 2.4 G 8S,,Mahabubnagar,1538715.935960711
762,ASPIRE 1.5TDCI,2014,8,,0,Diesel,,Ford,FIGO,,Faridabad,256817.8745308324
681,VW POLO GT 1 2 TSI,2015,8,17243.916073869987,1,Petrol,,Volkswagen,Polo GT,,Coimbatore,754635.7933108577
688,VX i-DTEC,2018,5,86564.302935473,1,Diesel,,Honda,Amaze,,Jaipur,773200.0705094152
347,SX,2024,7,88.51262898753271,1,Petrol,,Hyundai,Verna,,Sultanpur,1348867.6530565498
656,HIGHLNE,2018,4,,0,Petrol,,Volkswagen,Polo,,Rajkot,747469.757831275
319,1.6 CRDi S Option,2014,8,60419.22794400093,1,Diesel,,Hyundai,Verna,,Bengaluru,555714.8754404028
553,SX CRDi AT,2010,8,,0,Diesel,,Hyundai,Verna 2011-2014,,Hyderabad,546697.3239903788
158,VXI CNG,2023,1,38936.38856350663,1,Petrol + CNG,,Maruti,Ertiga,,Delhi,1029622.7619839213
143,VXi,2014,2,,0,Petrol,,Maruti,Ritz,,Bangalore,291585.5823198982
557,1.2 Sportz,2018,2,18231.79503169529,1,Petrol,,Hyundai,Grand i10,,Delhi,505270.04374261416
275,E,2021,4,32647.16202491005,1,Diesel,,Hyundai,CRETA,,Shimoga,1280630.2654641182
239,S CNG,2023,1,23210.559290023,1,Petrol + CNG,,Hyundai,Aura,,Bhiwandi,840050.7087932989
50,Zeta,2020,7,61902.07971533548,1,Petrol,,Maruti,Baleno,,Ludhiana,671758.8541560272
550,XUV 500 FWD W8,2013,8,,0,Diesel,,Mahindra,XUV 500 FWD W8,,Hyderabad,807327.5308178171
1,RXL DCI BS,2016,2,,0,Diesel,,RENUALT,DUSTER,,Chennai,745593.6128435617
454,LXI Optional,2016,11,44944.31047133671,1,Petrol,,Maruti,Alto K10,,Ghaziabad,261000.15049587702
350,Vxi,2022,12,16376.116418758253,1,Petrol,,Maruti,Swift,,Ghaziabad,700173.2754147152
544,1.5D TIT,2013,1,,0,Diesel,,Ford,EcoSport 2013-2015,,Chitradurga,613285.412676903
583,Vxi,2023,4,7018.67717734637,1,Petrol,,Maruti,Swift,,Ghaziabad,610792.3898143992
400,LXi,2017,5,44512.063013342486,1,Petrol,,Maruti,Alto,,Ludhiana,267015.9579921816
282,HTK Plus G,2020,7,66915.59318033076,1,Diesel,,Kia,Seltos,,Palwal,1201472.1404349187
8,S,2022,5,40699.13156670884,1,Petrol,,Hyundai,Creta,,Baghpat,1280614.9830392133
560,Magna,2016,1,63649.19362006381,1,Petrol,,Hyundai,Grand i10,,Delhi,394340.9116599669
50,Zeta,2019,7,71633.36517710327,1,Petrol,,Maruti,Baleno,,Ludhiana,735197.6171334006
701,1.2 mt crdi sx o,2020,2,,0,Diesel,,Hyundai,aura,,Kurnool,871222.4549638855
364,RXZ,2020,6,,0,Petrol,,RENAULT,TRIBER,,Jaipur,769511.6440880348
225,VDI,2013,5,,0,Diesel,,Maruti,Swift Dzire,,Jaipur,518730.74677557836
62,D75 K6 Plus,2016,9,79863.56577872997,1,Petrol,,Mahindra,KUV 100,,Lucknow,329714.2584237487
325,1.2 Revotron XT,2023,3,26856.68765659868,1,Petrol + CNG,,Tata,Tiago,,Delhi,788119.69152386
699,LXI CNG,2021,3,47032.44499854697,1,Petrol + CNG,,Maruti,WAGON R,,Gwalior,600253.7719019008
663,XZ,2019,10,17583.066430204395,1,Petrol,,Tata,Altroz,,Ghaziabad,744599.9395504601
268,RAPID ELEGANCE PLUS 1.5 TDI,2016,6,,0,Diesel,,Skoda,RAPID ELEGANCE PLUS 1.5 TDI,,Warangal,590116.050939243
143,VXi,2016,1,,0,Petrol,,Maruti,Ritz,,Bangalore,281737.6306544051
244,2WD,2018,8,49456.33809652924,1,Diesel,,Isuzu,MUX,,Bang441,2353181.044937194
251,VDI BSIV,2012,7,,0,Diesel,,MARUTI SUZUKI INDIA LTD,ERTIGA,,Tiruvannamalai,530992.8812948032
13,VDI,2017,5,91888.61399469315,1,Diesel,,Maruti,ERTIGA,,Bhayander,839023.8710776716
432,1.6 CRDI,2012,5,,0,Diesel,,Hyundai,Verna 2011-2014,,Rajkot,449458.99848698673
125,3.0 Diesel,2014,1,92136.11046488011,1,Diesel,,Toyota,Fortuner,,Ludhiana,1510301.9233003745
587,Zeta,2018,4,47757.11401726309,1,Petrol,,Maruti,Baleno,,Krishnagiri,662317.6911259245
82,1.6 VTVT S,2017,7,69889.28516876577,1,Petrol,,Hyundai,Creta,,Delhi,813691.6169401498
179,S i-VTEC,2021,8,99164.44907034746,1,Petrol,,Honda,Amaze,,Ghaziabad,739875.4520748042
724,1.0 RXT BSIV,2015,12,71164.84884295093,1,Petrol,,Renault,KWID,,Coimbatore,372981.74534333585
53,VDI,2017,12,,0,Diesel,,Maruti,Swift 2016,,Ghaziabad,545548.7591930674
466,1 5 TI VCT P TIT AT,2017,10,,0,Petrol,,FORD,FIGO ASPIRE,,Tiruvallur,662444.8380296361
543,VXI Optional,2019,2,33861.89521990766,1,Petrol,,Maruti,Alto K10,,Udaipur,337388.7934262728
369,XF 3 0L Premium Luxury,2014,5,76685.5619435892,1,Diesel,,Jaguar,XF,,Chennai,2953373.6865570643
121,Delta,2017,1,46980.93917445946,1,Petrol,,Maruti,Baleno,,Bangalore,563430.546832139
625,Magna,2019,1,52943.668134267136,1,Petrol,,Hyundai,Grand i10,,Ghaziabad,490209.3111061572
358,V W POLO 1 0L MPI,2019,7,,0,Petrol,,Volkswagen,V W POLO 1 0L MPI,,Hyderabad,734603.5332520511
727,VX,2013,7,89848.83532372535,1,Diesel,,Tata,Safari Storme,,Pune,528495.0799655229
596,ZXi,2020,6,48149.92712275735,1,Petrol,,Maruti,Ertiga,,Vellore,1114120.5312163713
388,XE,2018,9,60828.86810123948,1,Diesel,,Tata,Bolt,,Hoshiarpur,487004.6540462538
370,1.6 VTVT,1980,2,,0,Petrol,,Hyundai,Verna 2011-2014,,Rajkot,438025.51661373064
24,LXi,2022,1,3502.268491566532,1,Petrol,,Maruti,Alto,,Noida,411408.6851327513
694,2.5 VX (Diesel) 7 Seater,2013,12,,0,Diesel,,Toyota,Innova,,Bangalore,1132779.7481505005
651,VXi AT,2022,8,63702.18751547697,1,Petrol,,Maruti,Ertiga,,Mumbai,1106871.8512356174
123,SX,2019,8,75893.36299474654,1,Diesel,,Hyundai,CRETA,,Hyderabad,1800976.7763168744
179,S i-VTEC,2023,8,115217.0784526162,1,Petrol,,Honda,Amaze,,Ghaziabad,704605.4773971073
501,Asta,2015,1,85673.280235025,1,Diesel,,Hyundai,i20,,Nagpur,406212.038977468
740,5 Seater AC,2018,7,69724.61838451079,1,Petrol + CNG,,Maruti,Eeco,,Faridabad,429669.6298373126
173,1.5 CRDI MT E,2022,1,29708.468974955515,1,Diesel,,Hyundai,Creta,,Rohtak,1215090.0619393697
531,W10 2WD,2018,2,79762.91433283639,1,Diesel,,Mahindra,XUV500,,Nagpur,797643.0925676539
182,Xuv 500 F WD W8,2014,7,,0,Diesel,,Mahindra,Mahindra Xuv 500 F WD W8,,Villupuram,713620.2933583776
129,VXI CNG,2020,2,52695.915947352136,1,Petrol + CNG,,Maruti,Celerio,,Palwal,663222.2967664163
563,1.2 Kappa Asta,2017,4,67881.31336503016,1,Petrol + CNG,,HYUNDAI,Grand i10,,Delhi,463096.00110563677
441,EX 2.5M,2012,10,,0,Diesel,,MAHINDRA,SCORPIO,,Kurnool,378214.2323891664
539,GO T,2013,5,,0,Petrol,,Nissan,DATSUN,,Kalawad,301609.52981967723
135,Sportz 1.2,2014,1,22106.387238109957,1,Petrol,,Hyundai,Elite i20,,Airoli,427865.6696184448
216,MAGNA 1 2 M,2014,2,,0,Petrol,,HYUNDAI,I10,,Tiruvallur,301240.5118529524
115,FWD W8,2013,7,,0,Diesel,,Mahindra & Mahindra Limited,XUV500,,Surat,760483.6904944933
66,LXi,2018,2,90604.86506176475,1,Petrol,,Maruti,Alto 800,,Jaipur,283780.4843372023
506,1.5 Diesel Titanium,2015,12,71366.1396061515,1,Diesel,,Ford,EcoSport,,Hosur,633607.7826473543
111,SV MT,2013,5,107154.95133659366,1,Petrol,,Honda,City,,Jaipur,483364.41052502516
640,WR V 1.2 VX MT,2018,9,,0,Petrol,,Honda,WR V 1.2 VX MT,,Hyderabad,571808.8765997472
82,1.6 VTVT S,2016,8,68122.45970799198,1,Petrol,,Hyundai,Creta,,Delhi,845920.4932203798
34,G,2015,10,59285.83987166235,1,Petrol,,Toyota,Etios,,Puducherry,455966.3841054178
75,LXI CNG,2018,5,45012.14914541317,1,Petrol + CNG,,Maruti,Wagon R,,Ghaziabad,504149.5472051594
470,V W POLO 1 2 MPI HIGHLINE,2016,9,23789.24048307156,1,Petrol,,Volkswagen,Polo GT,,Coimbatore,708655.7755395402
774,POLO 1 2 M PIHIGHLINE PLUS,2018,9,,0,Petrol,,Volkswagen,POLO 1 2 M PIHIGHLINE PLUS,,Pondicherry,545684.060392306
67,85 PS RXL,2015,2,80442.54960856619,1,Diesel,,Renault,Duster,,Surat,548197.8668641316
69,AMT VXI BSIV,2018,3,28005.245044596013,1,Petrol,,Maruti,SWIFT,,Mahabubnagar,630882.8155576247
74,AMT ZDI,2019,5,99172.72904699629,1,Diesel,,Maruti,SWIFT,,Jamnagar,739952.7345683887
166,RxL,2020,6,6664.484417324706,1,Petrol,,Renault,Triber,,Viluppuram,593707.6132750066
660,LXi,2022,1,83500.30872233654,1,Petrol,,Maruti,Swift,,Gurgaon,535339.5695326144
137,GT TSI BSIV,2014,5,61160.55503367203,1,Petrol,,Volkswagen,Polo,,Hyderabad,708790.6053217518
720,Asta 1.4 CRDi,2017,2,100340.83392996844,1,Diesel,,Hyundai,Elite i20,,Jalgaon,531609.9783404993
340,1.2 V i VTEC,2017,6,31358.301555915627,1,Petrol,,Honda,Jazz,,Coimbatore,572625.9625445853
737,VDi,2015,10,69193.34350085257,1,Diesel,,Maruti,Ciaz,,Bijapur,608983.5414468576
181,LXI 1.2,2020,8,21196.79302670327,1,Petrol,,Maruti,Dzire,,Puducherry,574569.5431295794
261,VXI 1.2,2023,6,21911.604124926977,1,Petrol,,Maruti,Dzire,,New Delhi,826068.5002352231
473,Zeta,2022,7,63264.054418100095,1,Petrol,,Maruti,BALENO,,Baramati,704007.802280406
273,Magna Optional 1.4 CRDi,2014,7,,0,Diesel,,Hyundai,i20 2012-2014,,Rajkot,409098.9783121933
538,VXi AT,2018,7,37226.462886316694,1,Petrol,,Maruti,Swift,,Udaipur,615820.3577534952
583,Vxi,2021,3,7208.188549990211,1,Petrol,,Maruti,Swift,,Ghaziabad,606691.2569215025
284,VDi,2015,9,98996.6911852716,1,Diesel,,Maruti,Swift Dzire,,Patiala,390638.6707586846
685,XMA,2017,12,135055.23635281136,1,Diesel,,Tata,Hexa,,Lucknow,912773.7734502183
405,GRAND I 10 SPORTZ,2018,2,,0,Petrol,,HYUNDAI,GRAND I 10 SPORTZ,,Pondicherry,582633.6359716611
759,Camper,2014,7,151052.82325979546,1,Diesel,,Mahindra,Bolero,,Bangalore,489693.0496767462
694,2.5 VX (Diesel) 7 Seater,2011,11,,0,Diesel,,Toyota,Innova,,Bangalore,1164236.7159935893
114,LXI CNG,2018,2,,0,Petrol,,Maruti,Alto 800,,Rajkot,319502.75544853543
251,VDI BSIV,2012,6,,0,Diesel,,MARUTI SUZUKI INDIA LTD,ERTIGA,,Tiruvannamalai,527603.275700832
657,1.5 SV MT I DTEC,2013,6,,0,Diesel,,HONDA,CITY,,Chennai,711807.2632418984
564,85PS Diesel RxL,2014,5,,0,Diesel,,Renault,Duster 2015-2016,,Delhi,695230.4103532733
616,7 SEATER W/O AC,2019,11,,0,Petrol + CNG,,Maruti,Eeco,,Karawal Nagar,396464.6247323756
303,VXI Optional,2015,7,134315.98561216047,1,Petrol,,Maruti,Alto K10,,Udaipur,232405.846699791
28,Alpha,2017,9,59598.69357983091,1,Petrol,,Maruti,Ciaz,,Gurgaon,786743.0322124803
350,Vxi,2023,10,15068.710577726099,1,Petrol,,Maruti,Swift,,Ghaziabad,674204.6481677432
173,1.5 CRDI MT E,2021,1,29135.704231667678,1,Diesel,,Hyundai,Creta,,Rohtak,1216356.0016332178
591,S,2020,7,13963.225354323522,1,Petrol,,Hyundai,Venue,,Nagpur,804307.1412214359
330,5 Seater AC,2020,1,38306.75605538293,1,Petrol + CNG,,Maruti,Eeco,,Thane,524577.743686238
290,1 5D TIT P MT BSIV,2016,6,88244.41114587332,1,Diesel,,Ford,EcoSport,,Salem,804486.2100346726
495,1.2 Sportz,2016,10,98614.95055221858,1,Petrol,,Hyundai,i20,,Rajsamand,592137.063824439
608,1.5 Revotorq XMA,2018,4,129815.71657793231,1,Diesel,,Tata,Nexon,,Faridabad,592728.2668293301
364,RXZ,2020,6,,0,Petrol,,RENAULT,TRIBER,,Jaipur,704289.2340819903
404,HONDA BRIO 1 2 VXAT,2014,4,,0,Petrol,,HONDA CARS LTD,HONDA BRIO 1 2 VXAT,,Coimbatore,381616.43948726135
159,CNG LXI,2021,4,36832.88715645313,1,Petrol + CNG,,Maruti,Wagon R,,Thane,612464.0583543604
486,1.5 TDI Highline,2016,8,113204.36986980018,1,Diesel,,Volkswagen,Polo,,Hyderabad,629480.7136723263
168,POLO 1 2 HIGHLINE,2014,10,,0,Petrol,,Volkswagen,Polo 1 2 HIGHLINE,,Coimbatore,483219.58242860256
174,BOLERO POWER PLUS ZLX,2017,6,,0,Diesel,,Mahindra,BOLERO POWER PLUS ZLX,,Hyderabad,736794.9307497886
404,HONDA BRIO 1 2 VXAT,2015,4,,0,Petrol,,HONDA CARS LTD,HONDA BRIO 1 2 VXAT,,Coimbatore,379459.73598181584
492,VXI,2019,7,,0,Petrol,,Maruti Suzuki india ltd,Maruti Dzire VXI,,PUDUKOTTAI,640626.609216839
144,1.6 CRDi SX Option,2016,12,143615.8339837605,1,Diesel,,Hyundai,CRETA,,Nagpur,1068359.9659319823
85,ZXi,2018,11,14563.649454752582,1,Petrol,,Maruti,Ertiga,,Mangalore,1059732.129277565
550,XUV 500 FWD W8,2013,9,,0,Diesel,,Mahindra,XUV 500 FWD W8,,Hyderabad,783278.1985593688
113,LXi,2020,1,30262.94729755284,1,Petrol,,Maruti,ALTO 800,,Udaipur,322615.96574156865
651,VXi AT,2021,8,60756.549367411164,1,Petrol,,Maruti,Ertiga,,Mumbai,1095253.57648107
529,Zeta,2019,12,36510.21242234708,1,Petrol,,Maruti,Baleno,,Jaipur,704346.670785681
324,kwid Rxt,2015,6,,0,Petrol,,Renault,kwid Rxt,,Tirukovilur,326041.39207670954
668,INNOVA CRYSTA 2.4 G 8S,2018,1,,0,Diesel,,TOYOTA KIRLOSKAR MOTORS LTD,INNOVA CRYSTA 2.4 G 8S,,Mahabubnagar,1656717.5267381219
380,GTX Plus,2019,2,32362.292270147023,1,Diesel,,Kia,Seltos,,Chennai,1804984.2610779312
395,DELTA BSIV,2015,8,,0,Diesel,,MARUTI SUZUKI INDIA LTD,S CROSS,,Chennai,642250.4631474998
46,1.5 V AT,2017,3,64425.30490774291,1,Petrol,,Honda,City,,Pune,638730.472519751
50,Zeta,2019,6,64931.707671054086,1,Petrol,,Maruti,Baleno,,Ludhiana,706177.6743800743
502,1.5 V MT O,2014,8,,0,Diesel,,HONDA CARS INDIA LTD,MOBILIO,,Mysuru,432551.307836624
392,Sportz,2017,10,104217.57891534819,1,Petrol,,Hyundai,Grand i10 Nios,,Bangalore,502584.3878853259
598,VXI AMT,2020,8,49316.03958744284,1,Petrol,,Maruti,SWIFT,,Pune,474792.97380917467
6,ERA,2015,4,,0,Petrol,,Hyundai,EON,,Bangalore,271062.32259213616
347,SX,2024,8,77.93337457313251,1,Petrol,,Hyundai,Verna,,Sultanpur,1361372.6791657198
347,SX,2023,7,87.07912458777639,1,Petrol,,Hyundai,Verna,,Sultanpur,1374463.9921233363
472,Titanium,2019,9,,0,Petrol,,Ford,EcoSport,,GURGAON,704944.6348657002
145,S6 Plus 7 Seater,2015,10,,0,Diesel,,Mahindra,Scorpio,,NORTH EAST DELHI,642017.7342099596
384,XZ BSIV,2019,10,68413.62302264768,1,Diesel,,Tata,Harrier,,Ulundurpet,1621515.3163419797
485,DCI RXZ JSRGW4,2017,6,,0,Diesel,,RENAULT NISSAN,RENAULT LODGY,,Cuddalore,566505.4675601644
459,1.2 Revotron XE,2021,8,47568.13779399919,1,Petrol,,Tata,Tiago,,South Delhi,428973.5914318761
644,SWIFT VDI,2011,7,,0,Diesel,,MARUTI SUZUKI INDIA LTD,SWIFT VDI,,Rajkot,321173.92868281406
49,Sportz,2019,2,148358.3926931672,1,Petrol + CNG,,Hyundai,Grand i10,,Rajsamand,422234.5971951813
370,1.6 VTVT,1980,1,,0,Petrol,,Hyundai,Verna 2011-2014,,Rajkot,441632.8358223887
699,LXI CNG,2021,3,41186.40466350159,1,Petrol + CNG,,Maruti,WAGON R,,Gwalior,618708.3957471489
193,SMARTI HYBRID ZETA,2018,10,,0,Petrol,,Maruti,XL6,,Rajkot,855029.5557397803
423,LXi,2020,10,52387.51489341575,1,Petrol,,Maruti,Swift,,Faridabad,514981.066723148
632,XM,2018,6,,0,Petrol,,Tata,Nexon,,Bangalore,662561.9570637629
758,CNG 5 Seater AC,2017,3,78137.79025745155,1,Petrol + CNG,,Maruti,Eeco,,Bhiwandi,468733.0360133305
503,1.6 CRDi SX Option,2020,5,25005.454944473346,1,Diesel,,Hyundai,Verna,,Jaipur,961691.7119582352
741,E MPI STD BSIV,2015,9,160545.41404026214,1,Petrol,,Maruti,Omni,,Tarikere,239354.5578076521
214,ZDI,2019,4,60714.16199230474,1,Diesel,,Maruti,SWIFT,,Pune,733675.9571708684
358,V W POLO 1 0L MPI,2018,9,,0,Petrol,,Volkswagen,V W POLO 1 0L MPI,,Hyderabad,725894.2365061735
229,ZDi,2013,6,196788.67197867983,1,Diesel,,Maruti,ERTIGA,,Bangalore,586602.4663912329
689,HECTOR GASOLINE 1.5 TCIC MT HYBRID SHARP,2020,6,,0,Petrol,,MG MOTOR INDIA PVT LTD,HECTOR GASOLINE 1.5 TCIC MT HYBRID SHARP,,Nizamabad,1693631.0024227286
724,1.0 RXT BSIV,2016,12,70788.28230282717,1,Petrol,,Renault,KWID,,Coimbatore,355186.63983242284
386,1.2 Revotron XZ Plus,2019,9,95661.08677059309,1,Petrol,,Tata,Tiago,,Faridabad,465203.83740175754
325,1.2 Revotron XT,2022,4,26875.119513185975,1,Petrol + CNG,,Tata,Tiago,,Delhi,784777.4075952343
557,1.2 Sportz,2018,2,20301.974764595598,1,Petrol,,Hyundai,Grand i10,,Delhi,470080.51801916154
218,Vdi BSIV,2016,8,103405.77743888731,1,Diesel,,Maruti,Swift,,Thane,418967.45590054616
534,ZXI AT,2015,11,,0,Petrol,,Maruti,Celerio 2014-2017,,Jaipur,395360.8609731353
740,5 Seater AC,2020,8,63895.42716305503,1,Petrol + CNG,,Maruti,Eeco,,Faridabad,452488.37681290804
655,VXI,2020,11,,0,Petrol,,Maruti,SWIFT,,Rajkot,734116.3390093178
255,G MT,2021,12,12400.916291976831,1,Petrol,,Toyota,Glanza,,Nagpur,843893.7030257366
775,1.5 V i DTEC,2017,6,71965.22452907746,1,Diesel,,Honda,Jazz,,Mangalore,612667.3467725279
142,LXI CNG,2019,3,,0,Petrol + CNG,,Maruti,Wagon R,,Delhi,456365.0015240131
35,SX,2021,12,21686.63684331947,1,Petrol,,Hyundai,Verna,,Ludhiana,1168114.7347115949
431,B200 CDI,2015,1,83469.55571053279,1,Diesel,,Mercedes-Benz,B Class,,Chennai,1114105.9870351234
29,RENAULT DUSTER RXL,2013,12,,0,Diesel,,RENAULT INDIA PVT LTD,RENAULT DUSTER RXL,,Coimbatore,527071.3822269979
695,Vxi,2021,11,49034.7860093073,1,Petrol,,Maruti,Swift,,Udaipur,730168.2494080453
317,VXI CNG,2020,7,60734.27259514823,1,Petrol + CNG,,Maruti,Celerio,,Faridabad,591766.4628809144
652,BALENO DELTA,2017,1,,0,Diesel,,Maruti,BALENO DELTA,,Hyderabad,640899.1512135958
487,T,2016,1,62029.86026951965,1,Petrol,,Datsun,GO,,Delhi,233031.08079561227
287,VDi,2017,1,161151.54535930316,1,Diesel,,Maruti,SWIFT,,Cuddalore,568165.4497031921
360,Vxi,2020,6,54215.520555059666,1,Petrol + CNG,,Maruti,Swift,,Faridabad,608607.5694195944
557,1.2 Sportz,2018,3,19662.796399300234,1,Petrol,,Hyundai,Grand i10,,Delhi,484887.716644304
182,Xuv 500 F WD W8,2014,6,,0,Diesel,,Mahindra,Mahindra Xuv 500 F WD W8,,Villupuram,744349.6067808637
450,AT W10 1.99 mHawk,2018,8,47448.579944395125,1,Diesel,,Mahindra,XUV500,,Delhi,1269745.4731737375
46,1.5 V AT,2018,3,65313.67289185751,1,Petrol,,Honda,City,,Pune,589469.2159100996
40,1.5 CRDI MT EX,2022,1,75718.31604059985,1,Diesel,,Hyundai,Creta,,Gonda,1294560.3167669529
646,S,2022,9,28075.81440492458,1,Petrol,,Hyundai,Venue,,Udaipur,870710.207729149
303,VXI Optional,2016,9,149602.6241594603,1,Petrol,,Maruti,Alto K10,,Udaipur,229641.05552558196
352,LXi,2020,11,29315.909406463375,1,Petrol,,Maruti,Alto,,Gurgaon,342118.1765180432
591,S,2019,8,14022.026461923795,1,Petrol,,Hyundai,Venue,,Nagpur,760605.8584587582
8,S,2020,6,38729.31584678837,1,Petrol,,Hyundai,Creta,,Baghpat,1275598.525181406
482,Delta,2020,11,23079.84710230067,1,Petrol,,Maruti,Baleno,,Kolar,790051.3678699245
36,Sportz IVT,2016,3,115101.5776384218,1,Petrol,,Hyundai,i20,,Aurangabad,548315.1014996531
757,RXT,2014,12,,0,Petrol,,RENAULT,KWID,,Chennai,298901.39050074265
0,Asta 1.4 CRDi,2014,8,82439.2611633079,1,Diesel,,Hyundai,i20,,Jaipur,581679.5775159721
655,VXI,2019,11,,0,Petrol,,Maruti,SWIFT,,Rajkot,729130.0726953066
445,RXT,2017,2,,0,Petrol,,Renault,KWID 2015-2019,,Mandya,377758.9106351482
194,S11,2020,3,116917.8932327041,1,Diesel,,Mahindra,Scorpio,,Uttar Pradesh,1327020.5991686042
577,VXI BS IV,2016,3,55930.310155571,1,Petrol,,Maruti,WAGON R,,Haryana,327232.9534296509
531,W10 2WD,2018,2,87657.9090223308,1,Diesel,,Mahindra,XUV500,,Nagpur,844961.1046647797
199,CRETA 1.6 VTVT SX O,2018,9,,0,Petrol,,HYUNDAI,CRETA 1.6 VTVT SX O,,Warangal,1364505.2308414103
62,D75 K6 Plus,2016,11,79133.54706871795,1,Petrol,,Mahindra,KUV 100,,Lucknow,338713.8012548859
768,2.4 ZX 7 STR,2015,5,121314.94286383604,1,Diesel,,Toyota,Innova / Crysta,,Bengaluru,791843.8404970207
544,1.5D TIT,2012,1,,0,Diesel,,Ford,EcoSport 2013-2015,,Chitradurga,600088.4934585477
631,2.0 TDI,2012,12,,0,Diesel,,Audi,A6 2011-2015,,Bangalore,1874560.180653019
758,CNG 5 Seater AC,2019,3,67627.7386160407,1,Petrol + CNG,,Maruti,Eeco,,Bhiwandi,445734.68335577595
592,2.5G,2014,9,121292.42744635082,1,Diesel,,Toyota,INNOVA,,Pune,861279.3786207655
727,VX,2014,9,94136.76406525854,1,Diesel,,Tata,Safari Storme,,Pune,538726.2498280501
662,CNG LXI,2017,1,,0,Petrol + CNG,,Maruti,Wagon R,,Delhi,372327.4679200005
462,AMAZE 1 5 V MT  I DTEC,2019,8,,0,Diesel,,HONDA,HONDA AMAZE,,Puducherry,726437.1730616008
624,VXI AMT,2015,2,63636.50345440046,1,Petrol,,Maruti,WAGON R,,Jaipur,354237.34426409664
386,1.2 Revotron XZ Plus,2021,9,100772.33925412732,1,Petrol,,Tata,Tiago,,Faridabad,429783.26508929924
114,LXI CNG,2018,3,,0,Petrol,,Maruti,Alto 800,,Rajkot,329278.9542214784
661,Zeta,2022,10,29357.15925843741,1,Petrol,,Maruti,Baleno,,Udaipur,743146.4740738472
779,1.0 RXL AMT,2021,3,28020.07555582769,1,Petrol,,Renault,KWID,,Bhilwara,410024.4471947479
